objHomeroPlayer,352,128,,0,1,1,4294967295,0
AH,224,64,,0,1,1,4294967295,0
AH,224,96,,0,1,1,4294967295,0
AH,224,160,,0,1,1,4294967295,0
AH,224,224,,0,1,1,4294967295,0
AH,256,288,,0,1,1,4294967295,0
AH,320,352,,0,1,1,4294967295,0
AH,384,416,,0,1,1,4294967295,0
AH,448,480,,0,1,1,4294967295,0
AH,320,0,,0,1,1,4294967295,0
AH,352,0,,0,1,1,4294967295,0
AH,288,0,,0,1,1,4294967295,0
AH,256,0,,0,1,1,4294967295,0
AH,224,32,,0,1,1,4294967295,0
AH,480,64,,0,1,1,4294967295,0
AH,512,160,,0,1,1,4294967295,0
AH,640,320,,0,1,1,4294967295,0
AH,672,384,,0,1,1,4294967295,0
AH,672,416,,0,1,1,4294967295,0
AH,480,32,,0,1,1,4294967295,0
AH,416,0,,0,1,1,4294967295,0
AH,384,0,,0,1,1,4294967295,0
gol,640,384,,0,1,1,4294967295,0
gol,608,416,,0,1,1,4294967295,0
gol,576,416,,0,1,1,4294967295,0
gol,544,448,,0,1,1,4294967295,0
gol,512,448,,0,1,1,4294967295,0
gol,480,480,,0,1,1,4294967295,0
AH,608,192,,0,1,1,4294967295,0
AH,640,256,,0,1,1,4294967295,0
